ts_code,name,industry,pct_chg,cum3,cum5,cum8,down5_cnt,down_streak,intraday,amp_pct,amount,large_net_mf_ratio,reversal_candidate_score
603067.SH,振华股份,化工原料,0.1711,-0.06396588486140742,-0.23652173913043484,-0.16400856938824093,3.0,0,-0.11376564277587597,8.442669709070168,1364998.886,-0.0024782144767259524,59.2896421655841
688516.SH,奥特维,专用机械,-4.3107,-0.1417246175243394,-0.18437747819191108,-0.23578947368421055,5.0,6,-5.338242061665898,6.1870057373236085,726527.289,-0.0073774379588376245,58.03634909336317
002208.SZ,合肥城建,区域地产,1.1137,-0.06249999999999989,-0.14603960396039606,-0.33346213292117466,4.0,0,0.29069767441860517,3.6342321219226323,1083950.22718,-0.0015576545469182523,57.96447240956445
300260.SZ,新莱应材,机械基件,-3.5384,-0.04924640729057139,-0.2015013246982631,-0.2101048340128131,4.0,2,-3.125,5.654338549075391,685302.88984,-0.012875708144263186,57.85287375042388
002990.SZ,盛视科技,软件服务,4.1694,-0.07340852609443704,-0.18386933827243646,-0.22099003535840567,4.0,0,3.127659574468078,7.457554266064902,582670.732,0.0008025458879578679,57.766650511614586
301392.SZ,汇成真空,专用机械,-5.9379,-0.08547102444383414,-0.2090736342042755,-0.1878536585365853,4.0,2,-4.862857142857136,7.632768361581915,762459.54565,-0.01359926576977991,57.434348308156856
688515.SH,裕太微-U,半导体,-3.9106,-0.075175879396985,-0.1905704358534548,-0.22847321203990945,4.0,2,-3.1470371539838005,5.743225604343967,669992.053,-0.007065561417935194,57.36640429397875
600589.SH,大位科技,软件服务,-3.7788,-0.03867403314917128,-0.19195046439628483,-0.21973094170403595,4.0,2,-3.7788018433179693,6.267281105990781,1528445.268,-0.0033101021710906296,56.92293872331196
688361.SH,中科飞测,半导体,-7.0173,-0.13673356342409138,-0.2076342445930619,-0.21757936201436623,5.0,5,-6.635944700460827,7.49001789893983,2769115.251,0.0011020776397435686,56.78271714317993
688409.SH,富创精密,半导体,-5.5877,-0.10516372795969786,-0.18069649446494462,-0.2421333333333333,4.0,2,-5.887807139545675,7.773569862467602,1168018.313,-0.0053877751144471965,56.6852601201278
300657.SZ,弘信电子,元器件,-1.476,-0.08415275554539214,-0.1809815950920246,-0.22383720930232565,5.0,6,-0.9888751545117591,5.4612546125461225,2375324.28946,-0.003383639040641126,56.4768965826692
300762.SZ,上海瀚讯,通信设备,-4.2522,-0.11000552791597562,-0.1883035039072346,-0.2222222222222221,4.0,2,-4.479382972411738,5.114481118049378,1014594.71574,-0.0064952930443694205,56.459417894991255
600186.SH,莲花控股,食品,-3.0542,-0.17101937657961241,-0.2389791183294664,-0.10788757932910242,4.0,4,-1.6000000000000014,10.049261083743838,2479704.488,-0.0013322676213989267,56.444583110389345
603667.SH,五洲新春,机械基件,-4.7798,-0.12453555413196671,-0.21531924666972901,-0.14587499999999998,5.0,6,-4.753275717870087,5.936454849498334,1826054.418,-0.0064515218625866766,56.41456135682605
688502.SH,茂莱光学,元器件,-4.2058,-0.08489728633020543,-0.17051724137931035,-0.2599853019090428,4.0,2,-2.698876404494377,5.084070796460181,730489.824,-0.004109886135799195,56.283707828727685
000967.SZ,盈峰环境,环境保护,-2.7128,-0.051959890610756676,-0.1950464396284829,-0.2048929663608563,4.0,2,-2.2556390977443663,5.425631431244154,994061.8486,-0.011086131125060851,56.277624179745295
688521.SH,芯原股份,半导体,-7.9161,-0.0996236878589819,-0.20599434100674174,-0.2289426371315174,4.0,2,-8.531187122736416,8.87214389888187,4719937.953,-0.0022644132415356815,56.18986352525183
300480.SZ,光力科技,专用机械,-1.9324,-0.039905409399940917,-0.1804188745899572,-0.23504474799811592,4.0,2,-1.575757575757586,6.0084541062802,587707.23522,-0.004683062986232799,56.0696111400691
