kind,tag,n,k,ic,rank_ic,icir,diracc,n_days,top10_spread_bp,bt_annualised,bt_sharpe,bt_max_drawdown,bt_n_days
single,lstm_ic_h256_l3_w40,15,5,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.8784569117960508,-9.420186441781038,-0.13600061375977268,15
single,lstm_ic_h384_l3_w20,30,3,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.8844861004223694,-9.489635505946715,-0.14096444800475016,15
single,lstm_ic_final_h384_l2_w20,15,5,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.8552120333662644,-9.549361995675323,-0.11364335046455276,15
single,lstm_ic_h384_l3_w20,20,5,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.8874796588403627,-9.5521288547861,-0.1415647554798013,15
single,lstm_ic_h384_l3_w20,15,5,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.9000163849672224,-9.617637616875946,-0.14648139989425535,15
single,lstm_ic_h256_l3_w40,20,3,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.8617430644470814,-9.781509149825167,-0.12831923716096183,15
single,lstm_ic_h256_l3_w40,10,3,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.8944177646746959,-9.789680225420437,-0.14750523547144256,15
single,lstm_ic_h384_l3_w20,20,2,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.9007341788496195,-10.00316865574738,-0.14898853514121158,15
single,lstm_ic_h256_l3_w40,20,1,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.8298094941076154,-10.084430779505654,-0.11816137292797002,15
single,lstm_ic_final_h384_l2_w20,10,5,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.842517968003716,-10.168698925890821,-0.11108342218285039,15
single,lstm_ic_final_h384_l2_w20,10,3,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.862355528215867,-10.185027201434314,-0.11735301920091201,15
single,lstm_ic_h384_l3_w20,15,3,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.9136517424131302,-10.245740203537947,-0.15429083093736373,15
single,lstm_ic_h384_l3_w20,10,2,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.9419024499664721,-10.261934978347423,-0.18101848587113678,15
single,lstm_ic_h384_l3_w20,20,3,-0.021308722542623316,-0.01667029908491457,-3.843411372214515,0.578509833191954,16,-21.896248641496644,-0.8974062385912023,-10.281346253594586,-0.14567322701117047,15
single,lstm_ic_h256_l3_w40,10,5,-0.017623761252236247,-0.015472625252848194,-3.057338754212492,0.4248952390852877,16,17.261030257941457,-0.9211577032614677,-10.405437602924113,-0.16326432483074504,15
single,lstm_ic_final_h384_l2_w20,15,3,-0.026220810270687348,-0.019475477466494143,-4.773079304257684,0.4535528248653431,16,-1.0140348676941375,-0.848362212589369,-10.427798944236255,-0.11180072642339811,15
