tag,direction,n,k,ic,rank_ic,icir,diracc,n_days,top10_spread_bp,top10_abs_bp,bt_annualised,bt_sharpe,bt_max_drawdown,bt_n_days
lstm_ic_large,inverse,20,2,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.2603079879431369,-0.6903204457390727,-0.06875869122536205,15
lstm_ic_h384_l2_w20,inverse,30,2,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.2702375796524775,-0.7051456207650724,-0.069669093691893,15
lstm_ic_h384_l3_w20,inverse,5,5,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.34556129126694146,-0.7077919976061916,-0.10281813223114045,15
lstm_ic_large,inverse,30,2,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.26106254673856544,-0.7719203832681402,-0.06498260394062161,15
lstm_ic_final_h384_l2_w20,inverse,5,2,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,-0.4870240587538305,-0.7793281853806768,-0.12879551314140558,15
lstm_ic_final_h384_l2_w20,inverse,30,5,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,-0.28668612818916794,-0.8017009796831446,-0.07590191328728124,15
lstm_ic_large,inverse,3,2,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.5287004706989462,-0.8072390979273042,-0.14887347420950148,15
lstm_ic_final_h384_l2_w20,inverse,20,3,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,-0.3227612164119906,-0.8483090050394552,-0.07648774228459132,15
lstm_ic_h384_l3_w20,inverse,10,3,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.3675222799726615,-0.8545056555293697,-0.09148915473519525,15
lstm_ic_h384_l3_w20,inverse,15,3,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.3426883575761861,-0.8567065005019519,-0.09424852501791914,15
